<Población>,<Cantidad de nodos>,<Cantidad de arcos>,<Longitud total de los arcos>,<cantidad de coord X pares>,<cantidad de coord Y impares> 
<Abenójar, Ciudad Real, Castilla-La Mancha, España>,<157>,<369>,<90635.863>,<157>,<0>
<Llanos del Caudillo, Ciudad Real, Castilla-La Mancha, España>,<82>,<211>,<35545.24699999998>,<0>,<82>
<Los Cortijos, Ciudad Real, Castilla-La Mancha, España>,<79>,<219>,<60847.490000000034>,<77>,<79>
<Los Pozuelos de Calatrava, Ciudad Real, Castilla-La Mancha, España>,<43>,<116>,<40893.92599999997>,<43>,<0>
<Luciana, Ciudad Real, Castilla-La Mancha, España>,<58>,<170>,<23168.698>,<58>,<2>
<Malagón, Ciudad Real, Castilla-La Mancha, España>,<732>,<2104>,<345023.177>,<174>,<732>
<Manzanares, Ciudad Real, Castilla-La Mancha, España>,<908>,<2051>,<562075.4570000004>,<0>,<535>
<Membrilla, Ciudad Real, Castilla-La Mancha, España>,<335>,<1034>,<133040.81699999992>,<0>,<0>
<Mestanza, Ciudad Real, Castilla-La Mancha, España>,<116>,<305>,<140786.98700000002>,<66>,<0>
<Miguelturra, Campo de Calatrava, Ciudad Real, Castilla-La Mancha, 13170, España>,<573>,<1196>,<169713.59199999995>,<0>,<1>
<Miguelturra, Ciudad Real, Castilla-La Mancha, España>,<573>,<1196>,<169713.59199999995>,<0>,<1>
<Montiel, Ciudad Real, Castilla-La Mancha, España>,<227>,<628>,<60626.65499999995>,<227>,<0>
<Moral de Calatrava, Ciudad Real, Castilla-La Mancha, España>,<352>,<1051>,<202201.5359999999>,<0>,<0>
<Navalpino, Ciudad Real, Castilla-La Mancha, España>,<51>,<134>,<12020.191999999995>,<51>,<51>
<Navas de Estena, Ciudad Real, Castilla-La Mancha, España>,<67>,<184>,<14590.949999999992>,<67>,<67>
<Pedro Muñoz, Ciudad Real, Castilla-La Mancha, España>,<645>,<1783>,<171124.64200000028>,<645>,<645>
<Picón, Ciudad Real, Castilla-La Mancha, España>,<83>,<242>,<30445.743999999988>,<83>,<83>
<Piedrabuena, Ciudad Real, Castilla-La Mancha, España>,<295>,<816>,<148531.78900000008>,<295>,<291>
<Poblete, Ciudad Real, Castilla-La Mancha, España>,<209>,<536>,<53367.85099999997>,<1>,<0>
<Porzuna, Ciudad Real, Castilla-La Mancha, España>,<344>,<952>,<370416.2440000001>,<344>,<344>
<Pozuelo de Calatrava, Ciudad Real, Castilla-La Mancha, España>,<262>,<654>,<89903.79699999999>,<0>,<0>
<Puebla de Don Rodrigo, Ciudad Real, Castilla-La Mancha, España>,<63>,<176>,<124992.03400000001>,<63>,<63>
<Puebla del Príncipe, Ciudad Real, Castilla-La Mancha, España>,<167>,<467>,<44706.16699999999>,<167>,<0>
<Puerto Lápice, Ciudad Real, Castilla-La Mancha, España>,<188>,<446>,<69963.14300000004>,<0>,<188>
<Puertollano, Ciudad Real, Castilla-La Mancha, España>,<1529>,<4183>,<463667.39300000033>,<1526>,<0>
<Retuerta del Bullaque, Ciudad Real, Castilla-La Mancha, España>,<164>,<426>,<200033.39600000018>,<164>,<164>
<Ruidera, Ciudad Real, Castilla-La Mancha, España>,<110>,<283>,<26361.907999999992>,<110>,<0>
<Saceruela, Ciudad Real, Castilla-La Mancha, España>,<63>,<177>,<53032.02600000001>,<63>,<1>
<San Carlos del Valle, Ciudad Real, Castilla-La Mancha, España>,<106>,<313>,<26336.494000000006>,<0>,<0>
<San Lorenzo de Calatrava, Ciudad Real, Castilla-La Mancha, España>,<51>,<126>,<21191.331999999988>,<0>,<0>
<Santa Cruz de los Cáñamos, Ciudad Real, Castilla-La Mancha, España>,<88>,<227>,<24743.661000000007>,<88>,<0>
<Santa Cruz de Mudela, Ciudad Real, Castilla-La Mancha, España>,<329>,<872>,<156325.3579999999>,<0>,<0>
<Socuéllamos, Ciudad Real, Castilla-La Mancha, España>,<617>,<1706>,<257046.06099999984>,<617>,<617>
<Solana del Pino, Ciudad Real, Castilla-La Mancha, España>,<79>,<190>,<87428.27599999995>,<79>,<0>
<Terrinches, Ciudad Real, Castilla-La Mancha, España>,<146>,<360>,<40295.93500000005>,<146>,<0>
<Tomelloso, Ciudad Real, Castilla-La Mancha, España>,<1281>,<3278>,<406415.52299999894>,<100>,<1281>
<Torralba de Calatrava, Ciudad Real, Castilla-La Mancha, España>,<302>,<823>,<114634.88299999986>,<0>,<301>
<Torre de Juan Abad, Ciudad Real, Castilla-La Mancha, España>,<123>,<362>,<82367.60400000006>,<0>,<0>
<Torrenueva, Ciudad Real, Castilla-La Mancha, España>,<144>,<427>,<53468.20199999999>,<0>,<0>
<Valdemanco del Esteras, Ciudad Real, Castilla-La Mancha, España>,<34>,<90>,<9753.466000000004>,<34>,<0>
<Valdepeñas, Ciudad Real, Castilla-La Mancha, España>,<1520>,<3268>,<547027.1010000005>,<0>,<0>
<Valenzuela de Calatrava, Ciudad Real, Castilla-La Mancha, España>,<103>,<314>,<20660.472000000005>,<0>,<0>
<Villahermosa, Ciudad Real, Castilla-La Mancha, España>,<199>,<556>,<110795.2480000003>,<199>,<0>
<Villamanrique, Ciudad Real, Castilla-La Mancha, España>,<146>,<420>,<115773.02999999998>,<110>,<0>
<Villamayor de Calatrava, Ciudad Real, Castilla-La Mancha, España>,<91>,<260>,<70364.37099999996>,<91>,<0>
<Villanueva de la Fuente, Ciudad Real, Castilla-La Mancha, España>,<172>,<496>,<74553.288>,<172>,<0>
<Villanueva de los Infantes, Ciudad Real, Castilla-La Mancha, España>,<361>,<1047>,<123354.21599999984>,<11>,<0>
<Villanueva de San Carlos, Ciudad Real, Castilla-La Mancha, España>,<52>,<149>,<41159.216000000015>,<0>,<0>
<Villar del Pozo, Ciudad Real, Castilla-La Mancha, España>,<33>,<74>,<5306.062999999998>,<0>,<0>
<Villarrubia de los Ojos, Ciudad Real, Castilla-La Mancha, España>,<536>,<1387>,<217528.79499999993>,<0>,<536>
<Villarta de San Juan, Ciudad Real, Castilla-La Mancha, España>,<220>,<599>,<61566.83700000004>,<0>,<220>
<Viso del Marqués, Ciudad Real, Castilla-La Mancha, España>,<240>,<724>,<176454.96000000008>,<0>,<0>
